date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:00	63642/63642	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:25:59%20GMT	https://www.bupkis.org/	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.html	(from )
11:26:00	111/111	U-----	200	untouched ('OK')	text/plain	date:Fri,%2013%20Dec%202024%2018:45:48%20GMT	https://www.bupkis.org/robots.txt		(from )
11:26:00	156/156	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2013%20Dec%202024%2018:50:13%20GMT	https://www.bupkis.org/wp-content/uploads/challah_cropped-e1612472285967.jpg	/home/steph/Desktop/bupkis.org/www.bupkis.org/wp-content/uploads/challah_cropped-e1612472285967.jpg	(from https://www.bupkis.org/)
11:26:01	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Dec%202024%2016:26:01%20GMT	https://fonts.gstatic.com/	/home/steph/Desktop/bupkis.org/fonts.gstatic.com/index.html	(from https://www.bupkis.org/)
11:26:01	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Dec%202024%2016:26:01%20GMT	https://fonts.googleapis.com/	/home/steph/Desktop/bupkis.org/fonts.googleapis.com/index.html	(from https://www.bupkis.org/)
11:26:01	119684/119684	---M--	200	added ('OK')	image/jpeg	etag:%221d384-5bc6d2a9de000%22	https://www.bupkis.org/wp-content/uploads/Pozole-1024x664.jpg	/home/steph/Desktop/bupkis.org/www.bupkis.org/wp-content/uploads/Pozole-1024x664.jpg	(from https://www.bupkis.org/)
11:26:01	905/905	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%225ca8dab331ea33c1e2df09548f51cbc9-gzip%22	https://www.bupkis.org/index.php/feed	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/feed	(from https://www.bupkis.org/)
11:26:01	799/799	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%225ca8dab331ea33c1e2df09548f51cbc9-gzip%22	https://www.bupkis.org/index.php/comments/feed	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/comments/feed	(from https://www.bupkis.org/)
11:26:03	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Dec%202024%2016:26:02%20GMT	https://fonts.gstatic.com/robots.txt		(from https://www.bupkis.org/)
11:26:04	60413/60413	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:26:02%20GMT	https://www.bupkis.org/index.php/friends	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/friends.html	(from https://www.bupkis.org/)
11:26:04	60900/60900	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:26:02%20GMT	https://www.bupkis.org/index.php/friends/humans	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/friends/humans.html	(from https://www.bupkis.org/)
11:26:05	1371/1371	U--MC-	200	updated ('OK')	text/css	date:Sat,%2014%20Dec%202024%2016:26:02%20GMT	http://fonts.googleapis.com/css?family=Playfair+Display:regular,italic,700,700italic,900,900italic	/home/steph/Desktop/bupkis.org/fonts.googleapis.com/css58da.css	(from https://www.bupkis.org/)
11:26:05	61179/61179	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:26:04%20GMT	https://www.bupkis.org/index.php/friends/russell	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/friends/russell.html	(from https://www.bupkis.org/)
11:26:05	62172/62172	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:26:04%20GMT	https://www.bupkis.org/index.php/friends/molson	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/friends/molson.html	(from https://www.bupkis.org/)
11:26:06	59912/59912	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:26:05%20GMT	https://www.bupkis.org/index.php/sam	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/sam.html	(from https://www.bupkis.org/)
11:26:06	65469/65469	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:26:06%20GMT	https://www.bupkis.org/index.php/sams-dog-food	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/sams-dog-food.html	(from https://www.bupkis.org/)
11:26:06	62942/62942	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:26:06%20GMT	https://www.bupkis.org/index.php/friends/sam	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/friends/sam.html	(from https://www.bupkis.org/)
11:26:07	808/808	U--M-Z	200	updated ('OK')	text/xml	date:Sat,%2014%20Dec%202024%2016:26:02%20GMT	https://www.bupkis.org/xmlrpc.php?rsd	/home/steph/Desktop/bupkis.org/www.bupkis.org/xmlrpc0db0.php	(from https://www.bupkis.org/)
11:26:08	64837/64837	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:26:07%20GMT	https://www.bupkis.org/index.php/recipes-2/pizza-index/pizza-dough	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/recipes-2/pizza-index/pizza-dough.html	(from https://www.bupkis.org/)
11:26:08	61917/61917	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:26:07%20GMT	https://www.bupkis.org/index.php/recipes-2/pizza-index/tomato-sauce	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/recipes-2/pizza-index/tomato-sauce.html	(from https://www.bupkis.org/)
